Date,Open,High,Low,Close,Adj Close,Volume
2011-10-01,52500.000000,61150.000000,51000.000000,58600.000000,44552.367188,20841000
2011-11-01,56900.000000,65000.000000,56000.000000,65000.000000,49418.156250,14447000
2011-12-01,65000.000000,66400.000000,59100.000000,62050.000000,47175.324219,14217500
2012-01-01,62300.000000,63250.000000,55400.000000,57000.000000,43335.921875,20683503
2012-02-01,58100.000000,59850.000000,50050.000000,56750.000000,43145.855469,30250500
2012-03-01,56150.000000,57300.000000,51400.000000,55050.000000,41853.375000,25995002
2012-04-01,58950.000000,60450.000000,55300.000000,59200.000000,45008.535156,20801500
2012-05-01,59700.000000,61050.000000,54000.000000,54100.000000,41131.109375,22236503
2012-06-01,55000.000000,62800.000000,53350.000000,61500.000000,46757.179688,12514004
2012-07-01,62650.000000,63800.000000,55250.000000,56350.000000,42841.738281,21065500
2012-08-01,52200.000000,55500.000000,48100.000000,50100.000000,38753.582031,37861000
2012-09-01,50350.000000,50500.000000,45900.000000,46450.000000,35930.214844,23006000
2012-10-01,48900.000000,53600.000000,46250.000000,49150.000000,38018.726563,28289500
2012-11-01,48200.000000,53000.000000,46050.000000,52850.000000,40880.777344,34335500
2012-12-01,53750.000000,60450.000000,52500.000000,56000.000000,43317.371094,26876003
2013-01-01,56000.000000,57000.000000,49500.000000,51850.000000,40107.250000,26030500
2013-02-01,52250.000000,52850.000000,48300.000000,48300.000000,37361.238281,28637000
2013-03-01,49950.000000,51200.000000,45800.000000,48950.000000,37864.031250,12752040
2013-04-01,49100.000000,54450.000000,48600.000000,49400.000000,38212.117188,85
2013-05-01,49400.000000,57800.000000,49300.000000,53500.000000,41383.566406,1234078
2013-06-01,53500.000000,54500.000000,45300.000000,50600.000000,39140.343750,1284071
2013-07-01,49000.000000,51600.000000,42250.000000,42350.000000,32758.765625,27231504
2013-08-01,42500.000000,43650.000000,32000.000000,37950.000000,29790.912109,26675500
2013-09-01,37500.000000,43900.000000,35000.000000,35000.000000,27475.148438,29836500
2013-10-01,34900.000000,38450.000000,33150.000000,36900.000000,28966.656250,48215000
2013-11-01,36100.000000,38350.000000,34600.000000,37000.000000,29045.152344,33354000
2013-12-01,37300.000000,42000.000000,36800.000000,42000.000000,32970.171875,31152000
2014-01-01,42000.000000,45525.000000,39700.000000,41900.000000,32891.675781,27746700
2014-02-01,42050.000000,48500.000000,40600.000000,47700.000000,37444.699219,25247900
2014-03-01,47000.000000,49550.000000,43600.000000,49400.000000,38779.214844,27980200
2014-04-01,49800.000000,57125.000000,48075.000000,56500.000000,44352.738281,31127900
2014-05-01,56500.000000,57925.000000,52050.000000,52050.000000,40859.468750,25897600
2014-06-01,52000.000000,55000.000000,51300.000000,53500.000000,41997.722656,13146200
2014-07-01,53100.000000,54475.000000,52075.000000,54200.000000,42547.226563,16070100
2014-08-01,54200.000000,55900.000000,52925.000000,54000.000000,42390.230469,12666700
2014-09-01,55025.000000,57050.000000,53750.000000,56675.000000,45155.386719,16333500
2014-10-01,56200.000000,61500.000000,55500.000000,57750.000000,46011.882813,16602604
2014-11-01,57950.000000,64250.000000,57550.000000,61175.000000,48740.726563,13845600
2014-12-01,61400.000000,61525.000000,57100.000000,60700.000000,48362.277344,9358100
2015-01-01,60700.000000,64000.000000,51900.000000,57800.000000,46051.722656,24020700
2015-02-01,57325.000000,58500.000000,53400.000000,53425.000000,42565.968750,16313200
2015-03-01,53100.000000,55325.000000,47525.000000,51000.000000,40633.871094,22572000
2015-04-01,51500.000000,54650.000000,49025.000000,50000.000000,39837.128906,27550000
2015-05-01,50000.000000,50600.000000,44750.000000,47100.000000,37526.574219,31879500
2015-06-01,47050.000000,47500.000000,42000.000000,45100.000000,35933.089844,14644200
2015-07-01,45250.000000,54150.000000,44775.000000,49500.000000,39438.761719,18832000
2015-08-01,49000.000000,49875.000000,41000.000000,44500.000000,36062.734375,13837000
2015-09-01,44500.000000,44500.000000,39500.000000,42000.000000,34036.738281,10705100
2015-10-01,42075.000000,47800.000000,41950.000000,42950.000000,34806.621094,32228200
2015-11-01,42925.000000,52650.000000,42925.000000,48900.000000,39628.492188,27147300
2015-12-01,50000.000000,55000.000000,48275.000000,55000.000000,44571.921875,17907900
2016-01-01,55000.000000,59000.000000,52550.000000,58350.000000,47286.753906,23574300
2016-02-01,58350.000000,67225.000000,56300.000000,63700.000000,51622.390625,24626100
2016-03-01,63375.000000,67375.000000,58750.000000,65300.000000,52919.027344,27409500
2016-04-01,65500.000000,72300.000000,64425.000000,69250.000000,56120.097656,18881404
2016-05-01,69300.000000,74400.000000,67300.000000,69200.000000,56079.585938,18819000
2016-06-01,68300.000000,70600.000000,62150.000000,69000.000000,55917.500000,32675700
2016-07-01,69400.000000,77950.000000,67525.000000,67525.000000,56873.812500,35067200
2016-08-01,68000.000000,69650.000000,63500.000000,64400.000000,54241.742188,38547600
2016-09-01,64025.000000,65275.000000,59225.000000,62000.000000,52220.304688,21083100
2016-10-01,62500.000000,67975.000000,62500.000000,67900.000000,57189.664063,21504300
2016-11-01,68050.000000,68400.000000,60725.000000,65000.000000,54747.097656,23356100
2016-12-01,65000.000000,67750.000000,60025.000000,63900.000000,53820.613281,13655600
2017-01-01,63900.000000,65600.000000,61750.000000,61750.000000,52009.742188,8749400
2017-02-01,62300.000000,66000.000000,60050.000000,65850.000000,55463.023438,15916000
2017-03-01,66000.000000,66900.000000,62150.000000,65525.000000,55189.281250,14916300
2017-04-01,65025.000000,68575.000000,63500.000000,66400.000000,55926.265625,12665700
2017-05-01,66400.000000,78475.000000,66325.000000,73950.000000,62285.351563,19872800
2017-06-01,73950.000000,80325.000000,73200.000000,78300.000000,65949.195313,12379200
2017-07-01,78900.000000,81300.000000,75000.000000,76100.000000,64096.218750,15938500
2017-08-01,76700.000000,76700.000000,65500.000000,69200.000000,60210.144531,33136600
2017-09-01,69200.000000,69550.000000,65500.000000,65800.000000,57251.843750,18883600
2017-10-01,65850.000000,71025.000000,61925.000000,70000.000000,60906.210938,34363500
2017-11-01,70100.000000,83100.000000,69000.000000,76525.000000,66583.539063,28425800
2017-12-01,76525.000000,83800.000000,76525.000000,83800.000000,72913.445313,11885100
2018-01-01,83800.000000,86400.000000,80000.000000,81050.000000,70520.695313,14912300
2018-02-01,81050.000000,83600.000000,78700.000000,79750.000000,69389.585938,12878900
2018-03-01,79600.000000,80400.000000,69675.000000,72475.000000,63059.683594,21523100
2018-04-01,72575.000000,78900.000000,68000.000000,69325.000000,60318.906250,10398700
2018-05-01,69325.000000,72000.000000,66525.000000,68500.000000,59601.082031,15954500
2018-06-01,68500.000000,72900.000000,66125.000000,67250.000000,58513.468750,16911800
